Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
"Micronesia, Fed. Sts.",FSM,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
"Micronesia, Fed. Sts.",FSM,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
"Micronesia, Fed. Sts.",FSM,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
"Micronesia, Fed. Sts.",FSM,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
"Micronesia, Fed. Sts.",FSM,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
"Micronesia, Fed. Sts.",FSM,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
"Micronesia, Fed. Sts.",FSM,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
"Micronesia, Fed. Sts.",FSM,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
"Micronesia, Fed. Sts.",FSM,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
"Micronesia, Fed. Sts.",FSM,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,50.0
"Micronesia, Fed. Sts.",FSM,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,55.0
"Micronesia, Fed. Sts.",FSM,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,55.0
"Micronesia, Fed. Sts.",FSM,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,55.0
"Micronesia, Fed. Sts.",FSM,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,55.0
"Micronesia, Fed. Sts.",FSM,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,55.0
"Micronesia, Fed. Sts.",FSM,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,55.0
"Micronesia, Fed. Sts.",FSM,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,55.0
"Micronesia, Fed. Sts.",FSM,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,55.0
"Micronesia, Fed. Sts.",FSM,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,55.0
"Micronesia, Fed. Sts.",FSM,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,55.0
"Micronesia, Fed. Sts.",FSM,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,55.0
"Micronesia, Fed. Sts.",FSM,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,55.0
"Micronesia, Fed. Sts.",FSM,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,55.0
"Micronesia, Fed. Sts.",FSM,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,55.0
"Micronesia, Fed. Sts.",FSM,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,55.0
"Micronesia, Fed. Sts.",FSM,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,55.0
"Micronesia, Fed. Sts.",FSM,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,55.0
"Micronesia, Fed. Sts.",FSM,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,55.0
"Micronesia, Fed. Sts.",FSM,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,225.0
"Micronesia, Fed. Sts.",FSM,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,225.0
"Micronesia, Fed. Sts.",FSM,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,225.0
"Micronesia, Fed. Sts.",FSM,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,225.0
"Micronesia, Fed. Sts.",FSM,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,225.0
"Micronesia, Fed. Sts.",FSM,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,225.0
"Micronesia, Fed. Sts.",FSM,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,225.0
"Micronesia, Fed. Sts.",FSM,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,225.0
"Micronesia, Fed. Sts.",FSM,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,225.0
"Micronesia, Fed. Sts.",FSM,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,225.0
"Micronesia, Fed. Sts.",FSM,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,225.0
"Micronesia, Fed. Sts.",FSM,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,225.0
"Micronesia, Fed. Sts.",FSM,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,225.0
"Micronesia, Fed. Sts.",FSM,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,225.0
